"text","label"
"наши сыграли просто огонь, такой хоккей приятно смотреть","позитивный"
"вратарь сегодня творил чудеса, ни одного шанса сопернику","позитивный"
"три гола за период — вот это результативность, браво","позитивный"
"атмосфера на арене была невероятной, болельщики зажгли","позитивный"
"наш форвард оформил хет-трик, настоящий мастер","позитивный"
"игра в большинстве сегодня на высшем уровне","позитивный"
"защитники отработали на отлично, ни одного провала","позитивный"
"команда боролась до последней секунды, заслуженная победа","позитивный"
"такой пас в касание не каждый день увидишь, класс","позитивный"
"выиграли в овертайме, сердце чуть не выпрыгнуло","позитивный"
"тренер грамотно выстроил тактику, команда смотрелась монолитно","позитивный"
"голкипер вытащил матч в одиночку, стоя аплодирую","позитивный"
"быстрые контратаки наших просто разорвали соперника","позитивный"
"первый период задал тон всему матчу, молодцы","позитивный"
"победа над лидером чемпионата, приятно удивлён","позитивный"
"буллиты выиграли нервно, но главное результат","позитивный"
"трибуны ревели весь матч, такую поддержку приятно видеть","позитивный"
"красивая комбинация завершилась голом, загляденье","позитивный"
"наш капитан повёл за собой команду, лидер","позитивный"
"пять шайб забили за один период, разгромная победа","позитивный"
"игра была напряжённой, но наши выдержали давление","позитивный"
"новичок команды забил два гола в дебютном матче, перспективный","позитивный"
"соперник был силён, но наши оказались сильнее","позитивный"
"идеальный вечер хоккея, домой с отличным настроением","позитивный"
"командный дух на высоте, видно что ребята заряжены","позитивный"
"тренировочная работа видна, связки наигранные","позитивный"
"силовая борьба выиграна вчистую, физика у команды отличная","позитивный"
"гол с лёта в дальний угол, просто шедевр","позитивный"
"наши не дали сопернику ни одного лишнего шанса","позитивный"
"это была лучшая игра команды в этом сезоне","позитивный"
"ледовая арена набита битком, атмосфера праздника хоккея","позитивный"
"молодёжь команды прибавляет, хорошие перспективы","позитивный"
"второй период переломил игру, вовремя включились","позитивный"
"шайба в пустые ворота поставила точку, победа заслужена","позитивный"
"вратарь в серии буллитов отбил три подряд, герой","позитивный"
"игра против топ-клуба, наши не дрогнули, горжусь","позитивный"
"классный выездной матч, три очка в кармане","позитивный"
"тактический рисунок игры был идеальным","позитивный"
"болеть за эту команду — одно удовольствие","позитивный"
"гол на последней минуте, невероятный камбэк","позитивный"
"командный хоккей в лучшем виде, каждый отработал","позитивный"
"наш центрфорвард сегодня был неудержим","позитивный"
"матч завершился разгромом, соперник не успевал реагировать","позитивный"
"игровая дисциплина на высоте, минимум нарушений","позитивный"
"две передачи и гол от одного игрока за матч, браво","позитивный"
"наши вышли с нужным настроем и взяли своё","позитивный"
"скорость и напор — вот хоккей который я люблю","позитивный"
"болею за эту команду двадцать лет и не жалею","позитивный"
"феноменальный матч, буду пересматривать нарезку","позитивный"
